description,industry,level,size,line_code,value
Business focused on when assessing performance: human resources - don't know,Health care & social assistance,1,total,C2006_05,87
Business focused on when assessing performance: human resources - don't know,Arts & recreation services,1,total,C2006_05,15
Business focused on when assessing performance: human resources - don't know,Other services,1,total,C2006_05,126
Business focused on when assessing performance: human resources - don't know,total,0,total,C2006_05,1812
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,total,0,6–19 employees,C2101,10950
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,total,0,20–49 employees,C2101,3264
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,total,0,50–99 employees,C2101,1092
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,total,0,100+ employees,C2101,1074
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,"Agriculture, forestry, & fishing",1,total,C2101,1563
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Agriculture,2,total,C2101,1131
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Commercial fishing,2,total,C2101,21
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Forestry & logging,2,total,C2101,114
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,"Agriculture, forestry, & fishing support services",2,total,C2101,300
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Mining,1,total,C2101,36
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Manufacturing,1,total,C2101,1374
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,"Food, beverage, & tobacco",2,total,C2101,438
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,"Textile, clothing, footwear, & leather",2,total,C2101,45
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Wood & paper product,2,total,C2101,117
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,"Printing, publishing, & recorded media",2,total,C2101,93
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,"Petroleum, coal, chemical, & associated product",2,total,C2101,105
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Non-metallic mineral product,2,total,C2101,75
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Metal product,2,total,C2101,198
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Transport and industrial machinery & equipment,2,total,C2101,198
Business performance or processes have been compared in a systematic way with businesses in NZ and in same industry,Other machinery & equipment,2,total,C2101,36
